Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001,Male,Yes,0,Graduate,No,5000,0,120,360,1,Urban,Y
LP002,Male,Yes,1,Graduate,No,3000,1500,100,360,1,Rural,N
LP003,Female,No,0,Graduate,No,4000,0,110,360,1,Urban,Y
LP004,Male,Yes,2,Graduate,Yes,6000,2000,150,360,1,Semiurban,Y
LP005,Female,No,0,Not Graduate,No,2500,0,90,360,0,Rural,N
LP006,Male,Yes,3,Graduate,No,7000,0,160,360,1,Urban,Y
LP007,Female,No,1,Graduate,No,3500,500,100,360,1,Semiurban,Y
LP008,Male,Yes,2,Graduate,No,4500,0,130,360,1,Rural,Y
LP009,Male,No,0,Not Graduate,Yes,2000,0,80,360,0,Rural,N
LP010,Female,Yes,0,Graduate,No,5500,1000,140,360,1,Urban,Y
